[2024-10-12T10:01:35.733+0800] Target occupancy update: old: 0B, new: 268435456B
[2024-10-12T10:01:36.090+0800] GC(0) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 14132224B, recent allocation size: 2228224B, recent allocation duration: 356.76ms, recent old gen allocation rate: 6245721.63B/s, recent marking phase length: 0.00ms
[2024-10-12T10:01:36.090+0800] GC(0) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 14132224B, additional buffer size: 12582912B, predicted old gen allocation rate: 12491443.27B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:01:36.389+0800] GC(1) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 23220224B, recent allocation size: 740976B, recent allocation duration: 295.22ms, recent old gen allocation rate: 2509873.37B/s, recent marking phase length: 0.00ms
[2024-10-12T10:01:36.389+0800] GC(1) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 23220224B, additional buffer size: 12582912B, predicted old gen allocation rate: 10603126.14B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:01:36.663+0800] GC(2) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 32309760B, recent allocation size: 76368B, recent allocation duration: 269.79ms, recent old gen allocation rate: 283068.10B/s, recent marking phase length: 0.00ms
[2024-10-12T10:01:36.663+0800] GC(2) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 32309760B, additional buffer size: 12582912B, predicted old gen allocation rate: 8655204.25B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:01:36.938+0800] GC(3) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 41628672B, recent allocation size: 10320B, recent allocation duration: 271.49ms, recent old gen allocation rate: 38011.85B/s, recent marking phase length: 0.00ms
[2024-10-12T10:01:36.938+0800] GC(3) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 41628672B, additional buffer size: 12582912B, predicted old gen allocation rate: 6854412.44B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:01:37.212+0800] GC(4) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 50949120B, recent allocation size: 10320B, recent allocation duration: 270.00ms, recent old gen allocation rate: 38221.82B/s, recent marking phase length: 0.00ms
[2024-10-12T10:01:37.212+0800] GC(4) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 50949120B, additional buffer size: 14680064B, predicted old gen allocation rate: 6316890.53B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:01:37.548+0800] GC(5) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 61900800B, recent allocation size: 10320B, recent allocation duration: 331.85ms, recent old gen allocation rate: 31098.85B/s, recent marking phase length: 0.00ms
[2024-10-12T10:01:37.548+0800] GC(5) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 61900800B, additional buffer size: 20971520B, predicted old gen allocation rate: 6168785.55B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:01:38.063+0800] GC(6) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 80076288B, recent allocation size: 2099216B, recent allocation duration: 508.48ms, recent old gen allocation rate: 4128433.77B/s, recent marking phase length: 0.00ms
[2024-10-12T10:01:38.063+0800] GC(6) Adaptive IHOP information (value update), threshold: 120795955B (52.94), internal target occupancy: 228170137B, occupancy: 80076288B, additional buffer size: 23068672B, predicted old gen allocation rate: 6100184.86B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:01:38.570+0800] GC(7) Basic information (value update), threshold: 120795955B (45.00), target occupancy: 268435456B, current occupancy: 98950656B, recent allocation size: 12384B, recent allocation duration: 500.56ms, recent old gen allocation rate: 24740.40B/s, recent marking phase length: 0.00ms
