[2024-10-12T11:15:36.640+0800] Target occupancy update: old: 0B, new: 134217728B
[2024-10-12T11:15:36.853+0800] GC(0) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 9006080B, recent allocation size: 2097152B, recent allocation duration: 212.32ms, recent old gen allocation rate: 9877358.57B/s, recent marking phase length: 0.00ms
[2024-10-12T11:15:36.853+0800] GC(0) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 9006080B, additional buffer size: 6291456B, predicted old gen allocation rate: 19754717.14B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:15:36.965+0800] GC(1) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 13200384B, recent allocation size: 829728B, recent allocation duration: 107.62ms, recent old gen allocation rate: 7710087.23B/s, recent marking phase length: 0.00ms
[2024-10-12T11:15:36.965+0800] GC(1) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 13200384B, additional buffer size: 6291456B, predicted old gen allocation rate: 17095741.25B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:15:37.096+0800] GC(2) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 16487424B, recent allocation size: 74352B, recent allocation duration: 127.87ms, recent old gen allocation rate: 581479.31B/s, recent marking phase length: 0.00ms
[2024-10-12T11:15:37.096+0800] GC(2) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 16487424B, additional buffer size: 6291456B, predicted old gen allocation rate: 13964428.82B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:15:37.204+0800] GC(3) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 20190720B, recent allocation size: 74304B, recent allocation duration: 103.87ms, recent old gen allocation rate: 715343.84B/s, recent marking phase length: 0.00ms
[2024-10-12T11:15:37.204+0800] GC(3) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 20190720B, additional buffer size: 10485760B, predicted old gen allocation rate: 11099881.81B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:15:37.442+0800] GC(4) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 27880448B, recent allocation size: 6192B, recent allocation duration: 232.33ms, recent old gen allocation rate: 26651.58B/s, recent marking phase length: 0.00ms
[2024-10-12T11:15:37.442+0800] GC(4) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 27880448B, additional buffer size: 12582912B, predicted old gen allocation rate: 10085417.35B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:15:37.719+0800] GC(5) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 37200896B, recent allocation size: 6192B, recent allocation duration: 269.93ms, recent old gen allocation rate: 22939.53B/s, recent marking phase length: 0.00ms
[2024-10-12T11:15:37.719+0800] GC(5) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 37200896B, additional buffer size: 14680064B, predicted old gen allocation rate: 9866233.36B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:15:38.059+0800] GC(6) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 49317888B, recent allocation size: 6192B, recent allocation duration: 331.86ms, recent old gen allocation rate: 18658.52B/s, recent marking phase length: 0.00ms
