[2024-10-12T11:43:58.289+0800] Target occupancy update: old: 0B, new: 134217728B
[2024-10-12T11:43:58.505+0800] GC(0) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 9704960B, recent allocation size: 2097152B, recent allocation duration: 214.13ms, recent old gen allocation rate: 9793836.88B/s, recent marking phase length: 0.00ms
[2024-10-12T11:43:58.505+0800] GC(0) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 9704960B, additional buffer size: 6291456B, predicted old gen allocation rate: 19587673.77B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:43:58.617+0800] GC(1) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 13513216B, recent allocation size: 831984B, recent allocation duration: 107.89ms, recent old gen allocation rate: 7711646.79B/s, recent marking phase length: 0.00ms
[2024-10-12T11:43:58.617+0800] GC(1) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 13513216B, additional buffer size: 6291456B, predicted old gen allocation rate: 16957022.91B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:43:58.749+0800] GC(2) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 17161728B, recent allocation size: 97680B, recent allocation duration: 127.81ms, recent old gen allocation rate: 764276.54B/s, recent marking phase length: 0.00ms
[2024-10-12T11:43:58.749+0800] GC(2) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 17161728B, additional buffer size: 6291456B, predicted old gen allocation rate: 13865182.25B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:43:58.857+0800] GC(3) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 20657152B, recent allocation size: 81360B, recent allocation duration: 103.89ms, recent old gen allocation rate: 783105.65B/s, recent marking phase length: 0.00ms
[2024-10-12T11:43:58.857+0800] GC(3) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 20657152B, additional buffer size: 8388608B, predicted old gen allocation rate: 11025546.72B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:43:59.029+0800] GC(4) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 26016256B, recent allocation size: 6192B, recent allocation duration: 166.78ms, recent old gen allocation rate: 37126.89B/s, recent marking phase length: 0.00ms
[2024-10-12T11:43:59.029+0800] GC(4) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 26016256B, additional buffer size: 12582912B, predicted old gen allocation rate: 10000379.88B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:43:59.310+0800] GC(5) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 36036096B, recent allocation size: 4128B, recent allocation duration: 273.79ms, recent old gen allocation rate: 15077.36B/s, recent marking phase length: 0.00ms
[2024-10-12T11:43:59.310+0800] GC(5) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 36036096B, additional buffer size: 14680064B, predicted old gen allocation rate: 9785489.12B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:43:59.652+0800] GC(6) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 48619008B, recent allocation size: 6192B, recent allocation duration: 332.76ms, recent old gen allocation rate: 18607.95B/s, recent marking phase length: 0.00ms
[2024-10-12T11:43:59.652+0800] GC(6) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 48619008B, additional buffer size: 18874368B, predicted old gen allocation rate: 9541848.78B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:44:00.103+0800] GC(7) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 63997952B, recent allocation size: 0B, recent allocation duration: 440.51ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 0.00ms
[2024-10-12T11:44:00.103+0800] GC(7) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 63997952B, additional buffer size: 18874368B, predicted old gen allocation rate: 9282563.36B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:44:00.509+0800] GC(8) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 74949632B, recent allocation size: 6192B, recent allocation duration: 396.38ms, recent old gen allocation rate: 15621.31B/s, recent marking phase length: 0.00ms
[2024-10-12T11:44:00.509+0800] GC(8) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 74949632B, additional buffer size: 14680064B, predicted old gen allocation rate: 9015367.11B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:44:00.842+0800] GC(10) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 84503552B, recent allocation size: 2101280B, recent allocation duration: 324.06ms, recent old gen allocation rate: 6484319.60B/s, recent marking phase length: 0.00ms
[2024-10-12T11:44:00.843+0800] GC(10) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 84503552B, additional buffer size: 0B, predicted old gen allocation rate: 8943107.07B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:44:00.953+0800] GC(11) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 76114944B, recent allocation size: 70176B, recent allocation duration: 324.06ms, recent old gen allocation rate: 216555.44B/s, recent marking phase length: 429.54ms
[2024-10-12T11:44:00.953+0800] GC(11) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 76114944B, additional buffer size: 0B, predicted old gen allocation rate: 8943107.07B/s, predicted marking phase length: 859.07ms, prediction active: false
[2024-10-12T11:44:01.545+0800] GC(14) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 82173440B, recent allocation size: 4128B, recent allocation duration: 374.20ms, recent old gen allocation rate: 11031.65B/s, recent marking phase length: 429.54ms
[2024-10-12T11:44:01.545+0800] GC(14) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 82173440B, additional buffer size: 10485760B, predicted old gen allocation rate: 8677327.60B/s, predicted marking phase length: 859.07ms, prediction active: false
[2024-10-12T11:44:01.827+0800] GC(16) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 88464896B, recent allocation size: 6192B, recent allocation duration: 278.37ms, recent old gen allocation rate: 22243.40B/s, recent marking phase length: 429.54ms
[2024-10-12T11:44:01.827+0800] GC(16) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 88464896B, additional buffer size: 0B, predicted old gen allocation rate: 8410968.96B/s, predicted marking phase length: 859.07ms, prediction active: false
[2024-10-12T11:44:01.936+0800] GC(17) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 81940480B, recent allocation size: 80496B, recent allocation duration: 278.37ms, recent old gen allocation rate: 289164.20B/s, recent marking phase length: 381.95ms
[2024-10-12T11:44:01.936+0800] GC(17) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 81940480B, additional buffer size: 0B, predicted old gen allocation rate: 8410968.96B/s, predicted marking phase length: 747.53ms, prediction active: false
[2024-10-12T11:44:02.317+0800] GC(19) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 88464896B, recent allocation size: 4128B, recent allocation duration: 268.78ms, recent old gen allocation rate: 15358.34B/s, recent marking phase length: 381.95ms
[2024-10-12T11:44:02.317+0800] GC(19) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 88464896B, additional buffer size: 8388608B, predicted old gen allocation rate: 8146111.71B/s, predicted marking phase length: 747.53ms, prediction active: false
[2024-10-12T11:44:02.536+0800] GC(21) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 94756352B, recent allocation size: 6192B, recent allocation duration: 216.01ms, recent old gen allocation rate: 28664.74B/s, recent marking phase length: 381.95ms
[2024-10-12T11:44:02.536+0800] GC(21) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 94756352B, additional buffer size: 0B, predicted old gen allocation rate: 7884761.10B/s, predicted marking phase length: 747.53ms, prediction active: false
[2024-10-12T11:44:02.645+0800] GC(22) Basic information (value update), threshold: 109096767B (81.28), target occupancy: 134217728B, current occupancy: 89897472B, recent allocation size: 179568B, recent allocation duration: 216.01ms, recent old gen allocation rate: 831277.47B/s, recent marking phase length: 319.34ms
[2024-10-12T11:44:02.645+0800] GC(22) Adaptive IHOP information (value update), threshold: 109096767B (95.63), internal target occupancy: 114085068B, occupancy: 89897472B, additional buffer size: 0B, predicted old gen allocation rate: 7884761.10B/s, predicted marking phase length: 632.65ms, prediction active: true
[2024-10-12T11:44:03.025+0800] GC(25) Basic information (value update), threshold: 102967733B (76.72), target occupancy: 134217728B, current occupancy: 98253824B, recent allocation size: 2103344B, recent allocation duration: 165.87ms, recent old gen allocation rate: 12680387.14B/s, recent marking phase length: 319.34ms
[2024-10-12T11:44:03.025+0800] GC(25) Adaptive IHOP information (value update), threshold: 102967733B (90.26), internal target occupancy: 114085068B, occupancy: 98253824B, additional buffer size: 6291456B, predicted old gen allocation rate: 7628028.24B/s, predicted marking phase length: 632.65ms, prediction active: true
[2024-10-12T11:44:03.130+0800] GC(26) Basic information (value update), threshold: 103126496B (76.84), target occupancy: 134217728B, current occupancy: 102445568B, recent allocation size: 6192B, recent allocation duration: 103.83ms, recent old gen allocation rate: 59637.73B/s, recent marking phase length: 319.34ms
[2024-10-12T11:44:03.130+0800] GC(26) Adaptive IHOP information (value update), threshold: 103126496B (90.39), internal target occupancy: 114085068B, occupancy: 102445568B, additional buffer size: 6291456B, predicted old gen allocation rate: 7377080.40B/s, predicted marking phase length: 632.65ms, prediction active: true
[2024-10-12T11:44:03.235+0800] GC(27) Basic information (value update), threshold: 103281545B (76.95), target occupancy: 134217728B, current occupancy: 106173952B, recent allocation size: 6192B, recent allocation duration: 103.05ms, recent old gen allocation rate: 60088.95B/s, recent marking phase length: 319.34ms
[2024-10-12T11:44:03.235+0800] GC(27) Adaptive IHOP information (value update), threshold: 103281545B (90.53), internal target occupancy: 114085068B, occupancy: 106173952B, additional buffer size: 6291456B, predicted old gen allocation rate: 7132000.61B/s, predicted marking phase length: 632.65ms, prediction active: true
[2024-10-12T11:44:03.343+0800] GC(28) Basic information (value update), threshold: 103432657B (77.06), target occupancy: 134217728B, current occupancy: 110135296B, recent allocation size: 6192B, recent allocation duration: 103.89ms, recent old gen allocation rate: 59599.97B/s, recent marking phase length: 319.34ms
[2024-10-12T11:44:03.343+0800] GC(28) Adaptive IHOP information (value update), threshold: 103432657B (90.66), internal target occupancy: 114085068B, occupancy: 110135296B, additional buffer size: 6291456B, predicted old gen allocation rate: 6893146.59B/s, predicted marking phase length: 632.65ms, prediction active: true
[2024-10-12T11:44:03.500+0800] GC(30) Basic information (value update), threshold: 109871683B (81.86), target occupancy: 134217728B, current occupancy: 114329600B, recent allocation size: 4128B, recent allocation duration: 153.05ms, recent old gen allocation rate: 26972.18B/s, recent marking phase length: 319.34ms
[2024-10-12T11:44:03.500+0800] GC(30) Adaptive IHOP information (value update), threshold: 109871683B (96.31), internal target occupancy: 114085068B, occupancy: 114329600B, additional buffer size: 0B, predicted old gen allocation rate: 6659890.20B/s, predicted marking phase length: 632.65ms, prediction active: true
[2024-10-12T11:44:03.606+0800] GC(31) Basic information (value update), threshold: 110642537B (82.44), target occupancy: 134217728B, current occupancy: 108969984B, recent allocation size: 72240B, recent allocation duration: 153.05ms, recent old gen allocation rate: 472013.18B/s, recent marking phase length: 256.90ms
[2024-10-12T11:44:03.606+0800] GC(31) Adaptive IHOP information (value update), threshold: 110642537B (96.98), internal target occupancy: 114085068B, occupancy: 108969984B, additional buffer size: 0B, predicted old gen allocation rate: 6659890.20B/s, predicted marking phase length: 516.91ms, prediction active: true
[2024-10-12T11:44:04.030+0800] GC(35) Basic information (value update), threshold: 104467751B (77.83), target occupancy: 134217728B, current occupancy: 109436416B, recent allocation size: 6192B, recent allocation duration: 103.93ms, recent old gen allocation rate: 59579.53B/s, recent marking phase length: 256.90ms
[2024-10-12T11:44:04.030+0800] GC(35) Adaptive IHOP information (value update), threshold: 104467751B (91.57), internal target occupancy: 114085068B, occupancy: 109436416B, additional buffer size: 6291456B, predicted old gen allocation rate: 6434181.42B/s, predicted marking phase length: 516.91ms, prediction active: true
[2024-10-12T11:44:04.136+0800] GC(36) Basic information (value update), threshold: 104580944B (77.92), target occupancy: 134217728B, current occupancy: 112933888B, recent allocation size: 6192B, recent allocation duration: 103.73ms, recent old gen allocation rate: 59694.41B/s, recent marking phase length: 256.90ms
[2024-10-12T11:44:04.136+0800] GC(36) Adaptive IHOP information (value update), threshold: 104580944B (91.67), internal target occupancy: 114085068B, occupancy: 112933888B, additional buffer size: 6291456B, predicted old gen allocation rate: 6215198.45B/s, predicted marking phase length: 516.91ms, prediction active: true
[2024-10-12T11:44:04.292+0800] GC(38) Basic information (value update), threshold: 110982413B (82.69), target occupancy: 134217728B, current occupancy: 112698368B, recent allocation size: 6192B, recent allocation duration: 153.75ms, recent old gen allocation rate: 40272.22B/s, recent marking phase length: 256.90ms
[2024-10-12T11:44:04.292+0800] GC(38) Adaptive IHOP information (value update), threshold: 110982413B (97.28), internal target occupancy: 114085068B, occupancy: 112698368B, additional buffer size: 0B, predicted old gen allocation rate: 6002368.59B/s, predicted marking phase length: 516.91ms, prediction active: true
[2024-10-12T11:44:04.399+0800] GC(39) Basic information (value update), threshold: 111485998B (83.06), target occupancy: 134217728B, current occupancy: 106411008B, recent allocation size: 127968B, recent allocation duration: 153.75ms, recent old gen allocation rate: 832292.62B/s, recent marking phase length: 256.38ms
[2024-10-12T11:44:04.399+0800] GC(39) Adaptive IHOP information (value update), threshold: 111485998B (97.72), internal target occupancy: 114085068B, occupancy: 106411008B, additional buffer size: 0B, predicted old gen allocation rate: 6002368.59B/s, predicted marking phase length: 433.01ms, prediction active: true
[2024-10-12T11:44:04.930+0800] GC(44) Basic information (value update), threshold: 105283531B (78.44), target occupancy: 134217728B, current occupancy: 106176000B, recent allocation size: 6192B, recent allocation duration: 103.38ms, recent old gen allocation rate: 59894.53B/s, recent marking phase length: 256.38ms
[2024-10-12T11:44:04.930+0800] GC(44) Adaptive IHOP information (value update), threshold: 105283531B (92.29), internal target occupancy: 114085068B, occupancy: 106176000B, additional buffer size: 6291456B, predicted old gen allocation rate: 5796855.86B/s, predicted marking phase length: 433.01ms, prediction active: true
[2024-10-12T11:44:05.034+0800] GC(45) Basic information (value update), threshold: 105369636B (78.51), target occupancy: 134217728B, current occupancy: 110368256B, recent allocation size: 6192B, recent allocation duration: 102.66ms, recent old gen allocation rate: 60312.85B/s, recent marking phase length: 256.38ms
[2024-10-12T11:44:05.034+0800] GC(45) Adaptive IHOP information (value update), threshold: 105369636B (92.36), internal target occupancy: 114085068B, occupancy: 110368256B, additional buffer size: 6291456B, predicted old gen allocation rate: 5598002.75B/s, predicted marking phase length: 433.01ms, prediction active: true
[2024-10-12T11:44:05.077+0800] GC(46) Basic information (value update), threshold: 105451640B (78.57), target occupancy: 134217728B, current occupancy: 112242752B, recent allocation size: 6192B, recent allocation duration: 41.41ms, recent old gen allocation rate: 149523.41B/s, recent marking phase length: 256.38ms
[2024-10-12T11:44:05.077+0800] GC(46) Adaptive IHOP information (value update), threshold: 105451640B (92.43), internal target occupancy: 114085068B, occupancy: 112242752B, additional buffer size: 6291456B, predicted old gen allocation rate: 5408620.11B/s, predicted marking phase length: 433.01ms, prediction active: true
[2024-10-12T11:44:05.254+0800] GC(48) Basic information (value update), threshold: 111486515B (83.06), target occupancy: 134217728B, current occupancy: 118989824B, recent allocation size: 2101280B, recent allocation duration: 174.37ms, recent old gen allocation rate: 12050549.25B/s, recent marking phase length: 256.38ms
[2024-10-12T11:44:05.254+0800] GC(48) Adaptive IHOP information (value update), threshold: 111486515B (97.72), internal target occupancy: 114085068B, occupancy: 118989824B, additional buffer size: 0B, predicted old gen allocation rate: 6001175.05B/s, predicted marking phase length: 433.01ms, prediction active: true
[2024-10-12T11:44:05.318+0800] GC(49) Basic information (value update), threshold: 111506872B (83.08), target occupancy: 134217728B, current occupancy: 110376512B, recent allocation size: 18576B, recent allocation duration: 174.37ms, recent old gen allocation rate: 106530.78B/s, recent marking phase length: 236.19ms
[2024-10-12T11:44:05.318+0800] GC(49) Adaptive IHOP information (value update), threshold: 111506872B (97.74), internal target occupancy: 114085068B, occupancy: 110376512B, additional buffer size: 0B, predicted old gen allocation rate: 6001175.05B/s, predicted marking phase length: 429.62ms, prediction active: true
[2024-10-12T11:44:05.849+0800] GC(54) Basic information (value update), threshold: 105304206B (78.46), target occupancy: 134217728B, current occupancy: 104543232B, recent allocation size: 4128B, recent allocation duration: 103.29ms, recent old gen allocation rate: 39963.62B/s, recent marking phase length: 236.19ms
[2024-10-12T11:44:05.849+0800] GC(54) Adaptive IHOP information (value update), threshold: 105304206B (92.30), internal target occupancy: 114085068B, occupancy: 104543232B, additional buffer size: 6291456B, predicted old gen allocation rate: 5794501.62B/s, predicted marking phase length: 429.62ms, prediction active: true
[2024-10-12T11:44:05.953+0800] GC(55) Basic information (value update), threshold: 105389780B (78.52), target occupancy: 134217728B, current occupancy: 108739584B, recent allocation size: 6192B, recent allocation duration: 102.57ms, recent old gen allocation rate: 60366.33B/s, recent marking phase length: 236.19ms
[2024-10-12T11:44:05.953+0800] GC(55) Adaptive IHOP information (value update), threshold: 105389780B (92.38), internal target occupancy: 114085068B, occupancy: 108739584B, additional buffer size: 6291456B, predicted old gen allocation rate: 5595312.96B/s, predicted marking phase length: 429.62ms, prediction active: true
[2024-10-12T11:44:06.058+0800] GC(56) Basic information (value update), threshold: 105472771B (78.58), target occupancy: 134217728B, current occupancy: 112931840B, recent allocation size: 4128B, recent allocation duration: 103.28ms, recent old gen allocation rate: 39968.92B/s, recent marking phase length: 236.19ms
[2024-10-12T11:44:06.058+0800] GC(56) Adaptive IHOP information (value update), threshold: 105472771B (92.45), internal target occupancy: 114085068B, occupancy: 112931840B, additional buffer size: 6291456B, predicted old gen allocation rate: 5402139.00B/s, predicted marking phase length: 429.62ms, prediction active: true
[2024-10-12T11:44:06.214+0800] GC(58) Basic information (value update), threshold: 111844390B (83.33), target occupancy: 134217728B, current occupancy: 114795520B, recent allocation size: 6192B, recent allocation duration: 152.72ms, recent old gen allocation rate: 40544.38B/s, recent marking phase length: 236.19ms
[2024-10-12T11:44:06.214+0800] GC(58) Adaptive IHOP information (value update), threshold: 111844390B (98.04), internal target occupancy: 114085068B, occupancy: 114795520B, additional buffer size: 0B, predicted old gen allocation rate: 5215546.59B/s, predicted marking phase length: 429.62ms, prediction active: true
[2024-10-12T11:44:06.319+0800] GC(59) Basic information (value update), threshold: 111866994B (83.35), target occupancy: 134217728B, current occupancy: 108273152B, recent allocation size: 14448B, recent allocation duration: 152.72ms, recent old gen allocation rate: 94603.56B/s, recent marking phase length: 255.95ms
[2024-10-12T11:44:06.319+0800] GC(59) Adaptive IHOP information (value update), threshold: 111866994B (98.06), internal target occupancy: 114085068B, occupancy: 108273152B, additional buffer size: 0B, predicted old gen allocation rate: 5215546.59B/s, predicted marking phase length: 425.28ms, prediction active: true
[2024-10-12T11:44:06.848+0800] GC(64) Basic information (value update), threshold: 105652170B (78.72), target occupancy: 134217728B, current occupancy: 107339264B, recent allocation size: 4128B, recent allocation duration: 102.53ms, recent old gen allocation rate: 40260.61B/s, recent marking phase length: 255.95ms
[2024-10-12T11:44:06.848+0800] GC(64) Adaptive IHOP information (value update), threshold: 105652170B (92.61), internal target occupancy: 114085068B, occupancy: 107339264B, additional buffer size: 6291456B, predicted old gen allocation rate: 5035356.52B/s, predicted marking phase length: 425.28ms, prediction active: true
[2024-10-12T11:44:06.952+0800] GC(65) Basic information (value update), threshold: 105725849B (78.77), target occupancy: 134217728B, current occupancy: 111999488B, recent allocation size: 6192B, recent allocation duration: 103.19ms, recent old gen allocation rate: 60004.45B/s, recent marking phase length: 255.95ms
[2024-10-12T11:44:06.952+0800] GC(65) Adaptive IHOP information (value update), threshold: 105725849B (92.67), internal target occupancy: 114085068B, occupancy: 111999488B, additional buffer size: 6291456B, predicted old gen allocation rate: 4862109.50B/s, predicted marking phase length: 425.28ms, prediction active: true
