[2024-10-12T11:36:12.792+0800] Target occupancy update: old: 0B, new: 134217728B
[2024-10-12T11:36:12.996+0800] GC(0) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 9472000B, recent allocation size: 2359296B, recent allocation duration: 203.55ms, recent old gen allocation rate: 11590609.90B/s, recent marking phase length: 0.00ms
[2024-10-12T11:36:12.996+0800] GC(0) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 9472000B, additional buffer size: 6291456B, predicted old gen allocation rate: 23181219.81B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:36:13.107+0800] GC(1) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 14145024B, recent allocation size: 672864B, recent allocation duration: 107.34ms, recent old gen allocation rate: 6268450.54B/s, recent marking phase length: 0.00ms
[2024-10-12T11:36:13.107+0800] GC(1) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 14145024B, additional buffer size: 6291456B, predicted old gen allocation rate: 19817878.39B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:36:13.239+0800] GC(2) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 17396736B, recent allocation size: 10320B, recent allocation duration: 127.41ms, recent old gen allocation rate: 80998.04B/s, recent marking phase length: 0.00ms
[2024-10-12T11:36:13.239+0800] GC(2) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 17396736B, additional buffer size: 6291456B, predicted old gen allocation rate: 16143490.11B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:36:13.347+0800] GC(3) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 21821952B, recent allocation size: 68112B, recent allocation duration: 103.80ms, recent old gen allocation rate: 656215.07B/s, recent marking phase length: 0.00ms
[2024-10-12T11:36:13.347+0800] GC(3) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 21821952B, additional buffer size: 8388608B, predicted old gen allocation rate: 12821276.45B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:36:13.518+0800] GC(4) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 27880448B, recent allocation size: 6192B, recent allocation duration: 166.85ms, recent old gen allocation rate: 37111.58B/s, recent marking phase length: 0.00ms
[2024-10-12T11:36:13.518+0800] GC(4) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 27880448B, additional buffer size: 12582912B, predicted old gen allocation rate: 11754934.42B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:36:13.799+0800] GC(5) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 37436416B, recent allocation size: 6192B, recent allocation duration: 273.82ms, recent old gen allocation rate: 22613.40B/s, recent marking phase length: 0.00ms
[2024-10-12T11:36:13.799+0800] GC(5) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 37436416B, additional buffer size: 14680064B, predicted old gen allocation rate: 11486208.02B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:36:14.139+0800] GC(6) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 47920128B, recent allocation size: 6192B, recent allocation duration: 332.36ms, recent old gen allocation rate: 18630.27B/s, recent marking phase length: 0.00ms
[2024-10-12T11:36:14.139+0800] GC(6) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 47920128B, additional buffer size: 18874368B, predicted old gen allocation rate: 11190061.14B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:36:14.587+0800] GC(7) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 61201920B, recent allocation size: 0B, recent allocation duration: 439.60ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 0.00ms
[2024-10-12T11:36:14.587+0800] GC(7) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 61201920B, additional buffer size: 18874368B, predicted old gen allocation rate: 10879002.05B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:36:14.992+0800] GC(8) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 73784832B, recent allocation size: 6192B, recent allocation duration: 395.71ms, recent old gen allocation rate: 15647.73B/s, recent marking phase length: 0.00ms
[2024-10-12T11:36:14.992+0800] GC(8) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 73784832B, additional buffer size: 14680064B, predicted old gen allocation rate: 10560821.41B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:36:15.327+0800] GC(10) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 86367744B, recent allocation size: 2101280B, recent allocation duration: 326.03ms, recent old gen allocation rate: 6444998.31B/s, recent marking phase length: 0.00ms
[2024-10-12T11:36:15.327+0800] GC(10) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 86367744B, additional buffer size: 0B, predicted old gen allocation rate: 10424887.93B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:36:15.437+0800] GC(11) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 77282304B, recent allocation size: 8256B, recent allocation duration: 326.03ms, recent old gen allocation rate: 25322.62B/s, recent marking phase length: 431.61ms
[2024-10-12T11:36:15.437+0800] GC(11) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 77282304B, additional buffer size: 0B, predicted old gen allocation rate: 10424887.93B/s, predicted marking phase length: 863.22ms, prediction active: false
[2024-10-12T11:36:15.964+0800] GC(14) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 81008128B, recent allocation size: 4128B, recent allocation duration: 310.77ms, recent old gen allocation rate: 13283.03B/s, recent marking phase length: 431.61ms
[2024-10-12T11:36:15.964+0800] GC(14) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 81008128B, additional buffer size: 12582912B, predicted old gen allocation rate: 10110177.84B/s, predicted marking phase length: 863.22ms, prediction active: false
[2024-10-12T11:36:16.288+0800] GC(16) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 91493888B, recent allocation size: 6192B, recent allocation duration: 320.46ms, recent old gen allocation rate: 19322.03B/s, recent marking phase length: 431.61ms
[2024-10-12T11:36:16.288+0800] GC(16) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 91493888B, additional buffer size: 0B, predicted old gen allocation rate: 9796020.12B/s, predicted marking phase length: 863.22ms, prediction active: false
[2024-10-12T11:36:16.396+0800] GC(17) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 84507648B, recent allocation size: 30960B, recent allocation duration: 320.46ms, recent old gen allocation rate: 96610.13B/s, recent marking phase length: 423.85ms
[2024-10-12T11:36:16.396+0800] GC(17) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 84507648B, additional buffer size: 0B, predicted old gen allocation rate: 9796020.12B/s, predicted marking phase length: 754.64ms, prediction active: false
[2024-10-12T11:36:16.773+0800] GC(19) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 90562048B, recent allocation size: 6192B, recent allocation duration: 268.43ms, recent old gen allocation rate: 23067.08B/s, recent marking phase length: 423.85ms
[2024-10-12T11:36:16.773+0800] GC(19) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 90562048B, additional buffer size: 8388608B, predicted old gen allocation rate: 9484765.94B/s, predicted marking phase length: 754.64ms, prediction active: false
[2024-10-12T11:36:16.992+0800] GC(21) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 95222272B, recent allocation size: 6192B, recent allocation duration: 215.86ms, recent old gen allocation rate: 28685.70B/s, recent marking phase length: 423.85ms
[2024-10-12T11:36:16.992+0800] GC(21) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 95222272B, additional buffer size: 0B, predicted old gen allocation rate: 9178128.68B/s, predicted marking phase length: 754.64ms, prediction active: false
[2024-10-12T11:36:17.100+0800] GC(22) Basic information (value update), threshold: 108225660B (80.63), target occupancy: 134217728B, current occupancy: 90329088B, recent allocation size: 231528B, recent allocation duration: 215.86ms, recent old gen allocation rate: 1072600.64B/s, recent marking phase length: 318.92ms
[2024-10-12T11:36:17.100+0800] GC(22) Adaptive IHOP information (value update), threshold: 108225660B (94.86), internal target occupancy: 114085068B, occupancy: 90329088B, additional buffer size: 0B, predicted old gen allocation rate: 9178128.68B/s, predicted marking phase length: 638.41ms, prediction active: true
[2024-10-12T11:36:17.374+0800] GC(24) Basic information (value update), threshold: 101723619B (75.79), target occupancy: 134217728B, current occupancy: 99416576B, recent allocation size: 2101280B, recent allocation duration: 165.50ms, recent old gen allocation rate: 12696912.02B/s, recent marking phase length: 318.92ms
[2024-10-12T11:36:17.374+0800] GC(24) Adaptive IHOP information (value update), threshold: 101723619B (89.16), internal target occupancy: 114085068B, occupancy: 99416576B, additional buffer size: 6291456B, predicted old gen allocation rate: 9507988.32B/s, predicted marking phase length: 638.41ms, prediction active: true
[2024-10-12T11:36:17.478+0800] GC(25) Basic information (value update), threshold: 101920345B (75.94), target occupancy: 134217728B, current occupancy: 103610880B, recent allocation size: 6192B, recent allocation duration: 102.76ms, recent old gen allocation rate: 60257.73B/s, recent marking phase length: 318.92ms
[2024-10-12T11:36:17.478+0800] GC(25) Adaptive IHOP information (value update), threshold: 101920345B (89.34), internal target occupancy: 114085068B, occupancy: 103610880B, additional buffer size: 6291456B, predicted old gen allocation rate: 9199837.51B/s, predicted marking phase length: 638.41ms, prediction active: true
[2024-10-12T11:36:17.583+0800] GC(26) Basic information (value update), threshold: 102113478B (76.08), target occupancy: 134217728B, current occupancy: 107805184B, recent allocation size: 4128B, recent allocation duration: 103.53ms, recent old gen allocation rate: 39873.28B/s, recent marking phase length: 318.92ms
[2024-10-12T11:36:17.583+0800] GC(26) Adaptive IHOP information (value update), threshold: 102113478B (89.51), internal target occupancy: 114085068B, occupancy: 107805184B, additional buffer size: 6291456B, predicted old gen allocation rate: 8897316.37B/s, predicted marking phase length: 638.41ms, prediction active: true
[2024-10-12T11:36:17.740+0800] GC(28) Basic information (value update), threshold: 108593711B (80.91), target occupancy: 134217728B, current occupancy: 111999488B, recent allocation size: 6192B, recent allocation duration: 153.06ms, recent old gen allocation rate: 40455.40B/s, recent marking phase length: 318.92ms
[2024-10-12T11:36:17.741+0800] GC(28) Adaptive IHOP information (value update), threshold: 108593711B (95.19), internal target occupancy: 114085068B, occupancy: 111999488B, additional buffer size: 0B, predicted old gen allocation rate: 8601616.72B/s, predicted marking phase length: 638.41ms, prediction active: true
[2024-10-12T11:36:17.846+0800] GC(29) Basic information (value update), threshold: 109599721B (81.66), target occupancy: 134217728B, current occupancy: 106180096B, recent allocation size: 45408B, recent allocation duration: 153.06ms, recent old gen allocation rate: 296672.94B/s, recent marking phase length: 256.74ms
[2024-10-12T11:36:17.846+0800] GC(29) Adaptive IHOP information (value update), threshold: 109599721B (96.07), internal target occupancy: 114085068B, occupancy: 106180096B, additional buffer size: 0B, predicted old gen allocation rate: 8601616.72B/s, predicted marking phase length: 521.45ms, prediction active: true
[2024-10-12T11:36:18.267+0800] GC(33) Basic information (value update), threshold: 103458376B (77.08), target occupancy: 134217728B, current occupancy: 108506112B, recent allocation size: 6192B, recent allocation duration: 103.61ms, recent old gen allocation rate: 59765.21B/s, recent marking phase length: 256.74ms
[2024-10-12T11:36:18.267+0800] GC(33) Adaptive IHOP information (value update), threshold: 103458376B (90.69), internal target occupancy: 114085068B, occupancy: 108506112B, additional buffer size: 6291456B, predicted old gen allocation rate: 8313746.54B/s, predicted marking phase length: 521.45ms, prediction active: true
[2024-10-12T11:36:18.371+0800] GC(34) Basic information (value update), threshold: 103604468B (77.19), target occupancy: 134217728B, current occupancy: 111535616B, recent allocation size: 6192B, recent allocation duration: 102.75ms, recent old gen allocation rate: 60263.96B/s, recent marking phase length: 256.74ms
[2024-10-12T11:36:18.371+0800] GC(34) Adaptive IHOP information (value update), threshold: 103604468B (90.81), internal target occupancy: 114085068B, occupancy: 111535616B, additional buffer size: 6291456B, predicted old gen allocation rate: 8033584.93B/s, predicted marking phase length: 521.45ms, prediction active: true
[2024-10-12T11:36:18.476+0800] GC(35) Basic information (value update), threshold: 103746736B (77.30), target occupancy: 134217728B, current occupancy: 116193792B, recent allocation size: 4128B, recent allocation duration: 103.75ms, recent old gen allocation rate: 39788.38B/s, recent marking phase length: 256.74ms
