[2024-10-12T11:23:42.954+0800] Target occupancy update: old: 0B, new: 134217728B
[2024-10-12T11:23:43.143+0800] GC(0) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 9006080B, recent allocation size: 2097152B, recent allocation duration: 187.19ms, recent old gen allocation rate: 11203312.50B/s, recent marking phase length: 0.00ms
[2024-10-12T11:23:43.143+0800] GC(0) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 9006080B, additional buffer size: 6291456B, predicted old gen allocation rate: 22406625.01B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:23:43.254+0800] GC(1) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 12444160B, recent allocation size: 829728B, recent allocation duration: 107.78ms, recent old gen allocation rate: 7698385.99B/s, recent marking phase length: 0.00ms
[2024-10-12T11:23:43.255+0800] GC(1) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 12444160B, additional buffer size: 6291456B, predicted old gen allocation rate: 19299115.81B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:23:43.385+0800] GC(2) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 15763456B, recent allocation size: 96128B, recent allocation duration: 127.27ms, recent old gen allocation rate: 755309.89B/s, recent marking phase length: 0.00ms
[2024-10-12T11:23:43.385+0800] GC(2) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 15763456B, additional buffer size: 6291456B, predicted old gen allocation rate: 15771642.55B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:23:43.492+0800] GC(3) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 19258880B, recent allocation size: 88416B, recent allocation duration: 103.92ms, recent old gen allocation rate: 850791.46B/s, recent marking phase length: 0.00ms
[2024-10-12T11:23:43.492+0800] GC(3) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 19258880B, additional buffer size: 10485760B, predicted old gen allocation rate: 12539058.15B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:23:43.729+0800] GC(4) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 27880448B, recent allocation size: 7368B, recent allocation duration: 231.13ms, recent old gen allocation rate: 31878.23B/s, recent marking phase length: 0.00ms
[2024-10-12T11:23:43.729+0800] GC(4) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 27880448B, additional buffer size: 12582912B, predicted old gen allocation rate: 11401281.24B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:23:44.007+0800] GC(5) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 36734976B, recent allocation size: 6192B, recent allocation duration: 271.07ms, recent old gen allocation rate: 22842.66B/s, recent marking phase length: 0.00ms
