[2024-10-12T11:09:19.711+0800] Target occupancy update: old: 0B, new: 134217728B
[2024-10-12T11:09:19.903+0800] GC(0) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 9006080B, recent allocation size: 2097152B, recent allocation duration: 191.46ms, recent old gen allocation rate: 10953398.94B/s, recent marking phase length: 0.00ms
[2024-10-12T11:09:19.903+0800] GC(0) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 9006080B, additional buffer size: 6291456B, predicted old gen allocation rate: 21906797.88B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:09:20.015+0800] GC(1) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 12734464B, recent allocation size: 835920B, recent allocation duration: 107.85ms, recent old gen allocation rate: 7750992.06B/s, recent marking phase length: 0.00ms
[2024-10-12T11:09:20.016+0800] GC(1) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 12734464B, additional buffer size: 6291456B, predicted old gen allocation rate: 18888237.54B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:09:20.147+0800] GC(2) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 15530496B, recent allocation size: 110232B, recent allocation duration: 127.24ms, recent old gen allocation rate: 866321.35B/s, recent marking phase length: 0.00ms
[2024-10-12T11:09:20.147+0800] GC(2) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 15530496B, additional buffer size: 6291456B, predicted old gen allocation rate: 15445396.10B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:09:20.254+0800] GC(3) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 19724800B, recent allocation size: 82656B, recent allocation duration: 103.99ms, recent old gen allocation rate: 794815.46B/s, recent marking phase length: 0.00ms
[2024-10-12T11:09:20.254+0800] GC(3) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 19724800B, additional buffer size: 10485760B, predicted old gen allocation rate: 12277281.21B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:09:20.491+0800] GC(4) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 26948608B, recent allocation size: 4592B, recent allocation duration: 231.38ms, recent old gen allocation rate: 19845.81B/s, recent marking phase length: 0.00ms
[2024-10-12T11:09:20.491+0800] GC(4) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 26948608B, additional buffer size: 12582912B, predicted old gen allocation rate: 11153827.90B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:09:20.771+0800] GC(5) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 36734976B, recent allocation size: 6192B, recent allocation duration: 271.47ms, recent old gen allocation rate: 22809.05B/s, recent marking phase length: 0.00ms
[2024-10-12T11:09:20.771+0800] GC(5) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 36734976B, additional buffer size: 14680064B, predicted old gen allocation rate: 10911540.97B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:09:21.111+0800] GC(6) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 47453696B, recent allocation size: 6192B, recent allocation duration: 332.20ms, recent old gen allocation rate: 18639.51B/s, recent marking phase length: 0.00ms
[2024-10-12T11:09:21.111+0800] GC(6) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 47453696B, additional buffer size: 18874368B, predicted old gen allocation rate: 10638287.67B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:09:21.561+0800] GC(7) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 62133760B, recent allocation size: 0B, recent allocation duration: 440.21ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 0.00ms
[2024-10-12T11:09:21.561+0800] GC(7) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 62133760B, additional buffer size: 20971520B, predicted old gen allocation rate: 10348128.44B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:09:21.989+0800] GC(8) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 74716672B, recent allocation size: 6192B, recent allocation duration: 416.80ms, recent old gen allocation rate: 14856.19B/s, recent marking phase length: 0.00ms
[2024-10-12T11:09:21.989+0800] GC(8) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 74716672B, additional buffer size: 16777216B, predicted old gen allocation rate: 10049463.19B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:09:22.388+0800] GC(10) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 85668352B, recent allocation size: 2103344B, recent allocation duration: 389.58ms, recent old gen allocation rate: 5399003.85B/s, recent marking phase length: 0.00ms
[2024-10-12T11:09:22.388+0800] GC(10) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 85668352B, additional buffer size: 0B, predicted old gen allocation rate: 9889379.80B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T11:09:22.498+0800] GC(11) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 76731904B, recent allocation size: 189888B, recent allocation duration: 389.58ms, recent old gen allocation rate: 487417.20B/s, recent marking phase length: 495.18ms
[2024-10-12T11:09:22.498+0800] GC(11) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 76731904B, additional buffer size: 0B, predicted old gen allocation rate: 9889379.80B/s, predicted marking phase length: 990.36ms, prediction active: false
