[2024-10-12T10:43:24.084+0800] Target occupancy update: old: 0B, new: 134217728B
[2024-10-12T10:43:24.296+0800] GC(0) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 9239040B, recent allocation size: 2097152B, recent allocation duration: 210.60ms, recent old gen allocation rate: 9958146.95B/s, recent marking phase length: 0.00ms
[2024-10-12T10:43:24.296+0800] GC(0) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 9239040B, additional buffer size: 6291456B, predicted old gen allocation rate: 19916293.90B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:43:24.408+0800] GC(1) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 13433344B, recent allocation size: 829728B, recent allocation duration: 107.68ms, recent old gen allocation rate: 7705462.28B/s, recent marking phase length: 0.00ms
[2024-10-12T10:43:24.408+0800] GC(1) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 13433344B, additional buffer size: 6291456B, predicted old gen allocation rate: 17229647.26B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:43:24.539+0800] GC(2) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 17394688B, recent allocation size: 109320B, recent allocation duration: 127.94ms, recent old gen allocation rate: 854435.85B/s, recent marking phase length: 0.00ms
[2024-10-12T10:43:24.539+0800] GC(2) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 17394688B, additional buffer size: 6291456B, predicted old gen allocation rate: 14093938.31B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:43:24.646+0800] GC(3) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 21849088B, recent allocation size: 81936B, recent allocation duration: 103.84ms, recent old gen allocation rate: 789086.01B/s, recent marking phase length: 0.00ms
[2024-10-12T10:43:24.646+0800] GC(3) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 21849088B, additional buffer size: 8388608B, predicted old gen allocation rate: 11207019.04B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:43:24.817+0800] GC(4) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 26948608B, recent allocation size: 6816B, recent allocation duration: 166.69ms, recent old gen allocation rate: 40889.98B/s, recent marking phase length: 0.00ms
[2024-10-12T10:43:24.817+0800] GC(4) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 26948608B, additional buffer size: 14680064B, predicted old gen allocation rate: 10162420.48B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:43:25.163+0800] GC(5) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 37434368B, recent allocation size: 6192B, recent allocation duration: 338.23ms, recent old gen allocation rate: 18306.80B/s, recent marking phase length: 0.00ms
[2024-10-12T10:43:25.163+0800] GC(5) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 37434368B, additional buffer size: 14680064B, predicted old gen allocation rate: 9944404.10B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:43:25.502+0800] GC(6) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 47220736B, recent allocation size: 6192B, recent allocation duration: 332.24ms, recent old gen allocation rate: 18637.27B/s, recent marking phase length: 0.00ms
[2024-10-12T10:43:25.502+0800] GC(6) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 47220736B, additional buffer size: 18874368B, predicted old gen allocation rate: 9697055.48B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:43:25.951+0800] GC(7) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 60503040B, recent allocation size: 0B, recent allocation duration: 440.71ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 0.00ms
[2024-10-12T10:43:25.951+0800] GC(7) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 60503040B, additional buffer size: 20971520B, predicted old gen allocation rate: 9433720.54B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:43:26.355+0800] GC(8) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 73085952B, recent allocation size: 6192B, recent allocation duration: 394.01ms, recent old gen allocation rate: 15715.54B/s, recent marking phase length: 0.00ms
