[2024-10-12T10:37:12.887+0800] Target occupancy update: old: 0B, new: 134217728B
[2024-10-12T10:37:13.080+0800] GC(0) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 9239040B, recent allocation size: 2097152B, recent allocation duration: 192.93ms, recent old gen allocation rate: 10870017.12B/s, recent marking phase length: 0.00ms
[2024-10-12T10:37:13.080+0800] GC(0) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 9239040B, additional buffer size: 6291456B, predicted old gen allocation rate: 21740034.23B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:37:13.192+0800] GC(1) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 12623360B, recent allocation size: 828872B, recent allocation duration: 107.84ms, recent old gen allocation rate: 7686053.83B/s, recent marking phase length: 0.00ms
[2024-10-12T10:37:13.192+0800] GC(1) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 12623360B, additional buffer size: 6291456B, predicted old gen allocation rate: 18743933.17B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:37:13.323+0800] GC(2) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 15297536B, recent allocation size: 90840B, recent allocation duration: 127.69ms, recent old gen allocation rate: 711414.50B/s, recent marking phase length: 0.00ms
[2024-10-12T10:37:13.323+0800] GC(2) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 15297536B, additional buffer size: 6291456B, predicted old gen allocation rate: 15316273.09B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:37:13.432+0800] GC(3) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 19491840B, recent allocation size: 75680B, recent allocation duration: 104.59ms, recent old gen allocation rate: 723589.69B/s, recent marking phase length: 0.00ms
[2024-10-12T10:37:13.432+0800] GC(3) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 19491840B, additional buffer size: 8388608B, predicted old gen allocation rate: 12170607.22B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:37:13.604+0800] GC(4) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 26016256B, recent allocation size: 6192B, recent allocation duration: 167.13ms, recent old gen allocation rate: 37048.36B/s, recent marking phase length: 0.00ms
[2024-10-12T10:37:13.604+0800] GC(4) Adaptive IHOP information (value update), threshold: 60397977B (52.94), internal target occupancy: 114085068B, occupancy: 26016256B, additional buffer size: 12582912B, predicted old gen allocation rate: 11070139.32B/s, predicted marking phase length: 0.00ms, prediction active: false
[2024-10-12T10:37:13.883+0800] GC(5) Basic information (value update), threshold: 60397977B (45.00), target occupancy: 134217728B, current occupancy: 35103744B, recent allocation size: 4128B, recent allocation duration: 272.14ms, recent old gen allocation rate: 15168.39B/s, recent marking phase length: 0.00ms
